id,title,date,url
NDTV-2612373,"Coronavirus India Live Updates: 8,865 Fresh COVID-19 Cases In India, Lowest In Over 9 Months",2021-11-16T00:00:00+05:30,https://www.ndtv.com/india-news/coronavirus-live-updates-covid-cases-on-16-november-cases-in-kerala-maharashtra-delhi-2612373
NDTV-2612020,"Europe, UK Continue To Remain In India&#039;s Covid &quot;At-Risk&quot; Air Traveller List",2021-11-15T00:00:00+05:30,https://www.ndtv.com/india-news/coronavirus-coronavirus-travel-europe-uk-continue-to-remain-in-indias-covid-at-risk-air-traveller-list-2612020
NDTV-2611106,"10,229 Fresh COVID-19 Cases In India, Lowest Daily Rise Since February: 10 Points",2021-11-15T00:00:00+05:30,https://www.ndtv.com/india-news/coronavirus-10-229-fresh-covid-19-cases-in-india-9-2-lower-than-yesterday-2611106
NDTV-2611036,"Coronavirus India Live Updates: 10,229 Fresh COVID-19 Cases In India, 9.2% Lower Than Yesterday",2021-11-15T00:00:00+05:30,https://www.ndtv.com/india-news/coronavirus-live-updates-covid-cases-on-15-november-cases-in-kerala-maharashtra-delhi-2611036
NDTV-2610228,"India Reports 11,271 COVID-19 Cases, Active Cases Lowest Since March 2020",2021-11-14T00:00:00+05:30,https://www.ndtv.com/india-news/coronavirus-india-reports-11-271-new-covid-19-cases-active-caseload-lowest-since-march-2020-2610228
NDTV-2610123,"Coronavirus LIVE Updates: 11,271 New Covid Cases In India, 4% Lower Than Yesterday",2021-11-14T00:00:00+05:30,https://www.ndtv.com/india-news/coronavirus-live-updates-covid-cases-on-14-november-cases-in-kerala-maharashtra-delhi-2610123
NDTV-2610036,"Mumbai Achieves 100% First Dose Covid Vaccination Target: Minister",2021-11-14T00:00:00+05:30,https://www.ndtv.com/india-news/mumbai-achieves-100-first-dose-covid-vaccination-target-minister-2610036
NDTV-2609182,"India Records 11,850 New COVID-19 Cases, 555 Deaths",2021-11-13T00:00:00+05:30,https://www.ndtv.com/india-news/coronavirus-india-records-11-850-new-covid-19-cases-555-deaths-2609182
NDTV-2609082,"Coronavirus LIVE Updates: 11,850 New Covid Cases In India, 5% Lower Than Yesterday",2021-11-13T00:00:00+05:30,https://www.ndtv.com/india-news/coronavirus-india-live-updates-over-3-44-crore-covid-cases-reported-in-india-so-far-4-62-lakh-deaths-2609082
NDTV-2609065,"Patients With Covid History Add To Diabetes Case Burden: Delhi Hospital",2021-11-13T00:00:00+05:30,https://www.ndtv.com/india-news/patients-with-covid-history-add-to-diabetes-case-burden-indraprastha-apollo-hospital-2609065
NDTV-2608817,"Parliamentary Panel Suggests Resuming International Passenger Flights",2021-11-12T00:00:00+05:30,https://www.ndtv.com/india-news/coronavirus-parliamentary-panel-suggests-resuming-international-passenger-flights-2608817
NDTV-2607840,"Covaxin 77.8% Effective Against Covid, Says Lancet Study",2021-11-12T00:00:00+05:30,https://www.ndtv.com/india-news/covaxin-efficacy-77-8-in-lancet-study-65-2-against-delta-in-early-data-2607840
NDTV-2607813,"12,516 Fresh Covid Cases In India, 4.3% Lower Than Yesterday",2021-11-12T00:00:00+05:30,https://www.ndtv.com/india-news/coronavirus-12-516-fresh-covid-19-cases-in-india-4-3-lower-than-yesterday-2607813
NDTV-2607756,"Covaxin Found To Be 77.8% Effective Against Covid In Lancet Study",2021-11-12T00:00:00+05:30,https://www.ndtv.com/india-news/coronavirus-covaxin-found-to-be-77-8-effective-against-covid-in-lancet-study-2607756
NDTV-2607712,"Coronavirus Highlights: India Reports 12,516 New Cases, 501 Deaths",2021-11-13T00:00:00+05:30,https://www.ndtv.com/india-news/coronavirus-india-live-updates-over-3-44-crore-covid-cases-reported-in-india-so-far-2607712
NDTV-2607672,"Mizoram Plans To Inoculate Myanmar Refugees Against Covid",2021-11-12T00:00:00+05:30,https://www.ndtv.com/india-news/mizoram-plans-to-inoculate-myanmar-refugees-against-covid-19-2607672
NDTV-2606531,"13,091 Fresh COVID-19 Cases In India, 14% Higher Than Yesterday: 10 points",2021-11-11T00:00:00+05:30,https://www.ndtv.com/india-news/coronavirus-13-091-fresh-covid-19-cases-in-india-14-higher-than-yesterday-2606531
NDTV-2606503,"&quot;Get Vaccine, Win TV&quot;: Maharashtra District&#039;s Offer In Fight Against Covid",2021-11-11T00:00:00+05:30,https://www.ndtv.com/india-news/maha-from-led-tvs-to-refrigerators-chandrapur-civic-body-offers-vaccination-incentives-2606503
NDTV-2606414,"Coronavirus Highlights: India Reports 13,091 New Cases, 340 Deaths In Last 24 Hours",2021-11-12T00:00:00+05:30,https://www.ndtv.com/india-news/coronavirus-india-live-updates-made-in-india-anti-covid-pills-could-be-cleared-for-use-in-days-2606414
NDTV-2606227,"UK Researchers Identify T-Cell Targets For Future Covid Vaccines",2021-11-11T00:00:00+05:30,https://www.ndtv.com/india-news/uk-researchers-identify-t-cell-targets-for-future-covid-vaccines-2606227
